MC_Stationary,TD_Stationary,MC_Shift,TD_Shift
-249.7726547860462,-136.65007383142586,-189.93670305957136,-152.85184028888222
-168.74863664646264,-212.64027480457506,-1269.1511659638145,-208.743655926802
-208.50137257041132,-152.34519268868928,-252.52404890719458,-158.0313737965878
-229.08202167859963,-151.8259643138921,-1072.3148425399588,-189.08516378509876
-235.74894249433677,-171.22998936768727,-794.6111359406295,-164.74297404298974
-221.5991911721394,-165.7817048178107,-458.46683751633265,-202.5126632804735
-213.61843477538315,-185.87100381041475,-882.7936598136041,-264.7859150960929
-204.35318275820984,-207.32040663877422,-472.2289956159119,-212.34706058447574
-189.16685741219146,-186.63242211480878,-828.2230520944538,-243.93617189597427
-171.60477887461528,-216.18158406641203,-293.2096381792092,-194.1391025408555
-229.0113200662235,-237.37662503940038,-541.2656403721354,-138.1529917464087
-229.74212295859,-70.73317219600011,-950.9472516795867,-195.04951937209393
-200.08047853775352,-259.68090793623173,-415.7569304892776,-314.870011109811
-194.8883003140101,-214.83575810564793,-978.1600705475555,-210.19680381166182
-226.042434850084,-267.6044738683982,-342.04035848133685,-261.8454885718277
-265.45913768918535,-238.34251505101037,-757.2707200307859,-308.3740656044045
-219.95870732141194,-278.5926169236136,-1442.5887401872235,-220.99859245141397
-195.24567951311553,-204.9730811031816,-384.26246462957846,-143.11005744231844
-199.85284935047255,-220.77826557390296,-319.13972926230974,-194.62274656579308
-222.60545356909563,-155.54079031569532,-451.55592962176047,-155.27887467575917
-230.14254593786896,-170.08874917069923,-367.6582017914312,-129.04946898888156
-210.03621493992478,-154.64819426324686,-497.2268427373023,-175.74556186402936
-235.44811453214948,-197.20114143118195,-334.9124226202649,-177.9715352730164
-245.26414401824604,-153.91242450510657,-778.1246865762316,-129.18258002286115
-219.82867521205466,-210.8471028572192,-345.73130355588967,-112.84684384627575
-187.56576644337443,-123.14385408853894,-983.6329007722869,-241.41099960706185
-249.12640741025362,-134.48560617502787,-1018.0938160961823,-284.12010972499564
-749.0690248995858,-230.57453377083334,-437.54928832736556,-256.5943519013063
-224.56175376526838,-160.04857466984964,-834.5156963774034,-317.8951304289878
-178.46688422138894,-207.5833384608528,-1470.6453087043321,-128.79507972790435
-255.37976642478623,-196.6397761051004,-655.0952717280213,-150.87623112744373
-150.0970115604136,-143.82521276770012,-1766.7753671391765,-140.0909786722282
-211.90426995251522,-255.78201649714606,-1373.705890961341,-141.7346546404798
-164.28552356766713,-227.43266599993612,-355.90924548102015,-156.0258392622187
-272.4526339110939,-143.32761031538894,-806.691805516978,-107.49034716074243
-208.04266514131845,-188.59144060399944,-845.6978212024823,-244.45349097519227
-216.8015943143368,-156.42321808029288,-97.43426087636803,-133.41507240154502
-202.21615145153797,-225.39009382723722,-412.17480094284963,-197.0295054150625
-190.37102074559834,-133.66994100809103,-464.72491826011213,-184.43606979561076
-259.5726811121035,-136.83821695098095,-174.228525780464,-170.64920759675846
-178.49039258589931,-152.52497259341843,-407.6646806175713,-151.27407755325748
-217.71983915190054,-128.71714638802794,-550.3842918803668,-129.9245996839637
-259.9529747910159,-148.50109073836157,-124.64922576458747,-192.48878476478205
-227.59292525630156,-112.06070173499052,-421.6883642669913,-127.40707698552396
-250.78562459326736,-214.18124906036905,-124.49538224529418,-347.66268760580607
-208.55791958214357,-82.68660025643305,-105.35178857876956,-201.88769615528759
-254.6234144909689,-182.48552310586325,-121.15780972504197,-162.52183860404614
-243.8232437781904,-151.59004871419035,-464.8109518272013,-258.3321955349119
-265.4286520096823,-137.64413233132717,-157.6869298689453,-225.3592703584689
-211.14600850572037,-180.84964259053731,-166.28365812462312,-218.09893102994457
-188.16549643456523,-146.42916509592882,-1314.3843099319768,-228.74883379991456
-231.069887468596,-172.62439408719774,-74.85227741873021,-230.21508067071468
